,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature (Â°F),Wind Speed(mph)
0,banjar,44,ID,2019-Apr-2 05:53:13,77,-82.07151985363853,-79.29456308999356,82.25,3.98
1,caravelas,68,BR,2019-Apr-2 05:55:57,100,-5.6429260111211335,175.94573961837295,79.91,7.34
2,albany,20,US,2019-Apr-2 05:55:29,53,-63.435340760236734,87.01344503532204,27,2.3
3,bekobod,8,TJ,2019-Apr-2 05:30:00,63,-25.32500873450786,130.88529360579878,60.8,20.13
4,kysyl-syr,36,RU,2019-Apr-2 05:56:33,58,63.821999391528976,-50.049063910143445,36.53,5.55
5,victoria,75,BN,2019-Apr-2 05:30:00,66,40.5957093820013,-167.3768780172525,89.6,2.24
6,cape town,0,ZA,2019-Apr-2 05:56:06,62,-62.380160899374914,-25.092829356147746,60.01,3.36
7,ribeira grande,36,PT,2019-Apr-2 05:56:37,99,82.10943540855553,135.42226270371225,59.48,21.88
8,adrar,0,DZ,2019-Apr-2 05:00:00,51,-1.3340779149190496,17.838109606690438,60.8,16.11
9,tuktoyaktuk,75,CA,2019-Apr-2 05:00:00,77,-23.611763914445902,25.271722934675978,5,10.29
10,synya,80,RU,2019-Apr-2 05:56:40,81,40.47670313967072,19.197244693816344,27.53,9.69
11,ushuaia,40,AR,2019-Apr-2 05:00:00,87,-22.99302317922823,76.24732197633921,50,8.05
12,ilinskiy,75,RU,2019-Apr-2 05:40:51,80,-68.48016318193281,-75.04584378826617,35.01,8.95
13,busselton,36,AU,2019-Apr-2 05:55:06,26,54.64662668112399,-171.36121417078994,78.01,5.77
14,nikolskoye,0,RU,2019-Apr-2 05:55:46,74,0.7623007404023383,-152.9327663225677,39,11.18
